,PEOPLEUSDT_PERP.A_ls_ratio,OMGUSDT_PERP.A_ls_ratio,BALUSDT_PERP.A_ls_ratio,RENUSDT_PERP.A_ls_ratio,CRVUSDT_PERP.A_ls_ratio,STORJUSDT_PERP.A_ls_ratio,RLCUSDT_PERP.A_ls_ratio,SXPUSDT_PERP.A_ls_ratio,KAVAUSDT_PERP.A_ls_ratio,RSRUSDT_PERP.A_ls_ratio,MTLUSDT_PERP.A_ls_ratio,DOGEUSDT_PERP.A_ls_ratio,BANDUSDT_PERP.A_ls_ratio,WAVESUSDT_PERP.A_ls_ratio,KSMUSDT_PERP.A_ls_ratio,ALGOUSDT_PERP.A_ls_ratio,MATICUSDT_PERP.A_ls_ratio,KNCUSDT_PERP.A_ls_ratio,ZILUSDT_PERP.A_ls_ratio,BLZUSDT_PERP.A_ls_ratio,NEARUSDT_PERP.A_ls_ratio,AVAXUSDT_PERP.A_ls_ratio,MKRUSDT_PERP.A_ls_ratio,SNXUSDT_PERP.A_ls_ratio,ENJUSDT_PERP.A_ls_ratio,ZRXUSDT_PERP.A_ls_ratio,FLMUSDT_PERP.A_ls_ratio,FTMUSDT_PERP.A_ls_ratio,UNIUSDT_PERP.A_ls_ratio,SKLUSDT_PERP.A_ls_ratio,TRBUSDT_PERP.A_ls_ratio,TRXUSDT_PERP.A_ls_ratio,BNBUSDT_PERP.A_ls_ratio,XRPUSDT_PERP.A_ls_ratio,NEOUSDT_PERP.A_ls_ratio,EOSUSDT_PERP.A_ls_ratio,ETCUSDT_PERP.A_ls_ratio,BTCUSDT_PERP.A_ls_ratio,LTCUSDT_PERP.A_ls_ratio,XLMUSDT_PERP.A_ls_ratio,LINKUSDT_PERP.A_ls_ratio,ETHUSDT_PERP.A_ls_ratio,BCHUSDT_PERP.A_ls_ratio,ADAUSDT_PERP.A_ls_ratio,XMRUSDT_PERP.A_ls_ratio,DASHUSDT_PERP.A_ls_ratio,ZECUSDT_PERP.A_ls_ratio,ONTUSDT_PERP.A_ls_ratio,ATOMUSDT_PERP.A_ls_ratio,XTZUSDT_PERP.A_ls_ratio,IOTAUSDT_PERP.A_ls_ratio,BATUSDT_PERP.A_ls_ratio,VETUSDT_PERP.A_ls_ratio,QTUMUSDT_PERP.A_ls_ratio,IOSTUSDT_PERP.A_ls_ratio,THETAUSDT_PERP.A_ls_ratio,AUDIOUSDT_PERP.A_ls_ratio,SUSHIUSDT_PERP.A_ls_ratio,COMPUSDT_PERP.A_ls_ratio,RUNEUSDT_PERP.A_ls_ratio,DOTUSDT_PERP.A_ls_ratio,FILUSDT_PERP.A_ls_ratio,AAVEUSDT_PERP.A_ls_ratio,UNFIUSDT_PERP.A_ls_ratio,GRTUSDT_PERP.A_ls_ratio,DEFIUSDT_PERP.A_ls_ratio,GTCUSDT_PERP.A_ls_ratio,YFIUSDT_PERP.A_ls_ratio,LRCUSDT_PERP.A_ls_ratio,SOLUSDT_PERP.A_ls_ratio,EGLDUSDT_PERP.A_ls_ratio,ICXUSDT_PERP.A_ls_ratio,OCEANUSDT_PERP.A_ls_ratio,ROSEUSDT_PERP.A_ls_ratio,OGNUSDT_PERP.A_ls_ratio,BELUSDT_PERP.A_ls_ratio,CTKUSDT_PERP.A_ls_ratio,AXSUSDT_PERP.A_ls_ratio,MASKUSDT_PERP.A_ls_ratio,ALPHAUSDT_PERP.A_ls_ratio,ZENUSDT_PERP.A_ls_ratio,BAKEUSDT_PERP.A_ls_ratio,1INCHUSDT_PERP.A_ls_ratio,LINAUSDT_PERP.A_ls_ratio,CELOUSDT_PERP.A_ls_ratio,GALAUSDT_PERP.A_ls_ratio,CELRUSDT_PERP.A_ls_ratio,DGBUSDT_PERP.A_ls_ratio,REEFUSDT_PERP.A_ls_ratio,ANKRUSDT_PERP.A_ls_ratio,CHZUSDT_PERP.A_ls_ratio,LPTUSDT_PERP.A_ls_ratio,ALICEUSDT_PERP.A_ls_ratio,1000SHIBUSDT_PERP.A_ls_ratio,SANDUSDT_PERP.A_ls_ratio,RVNUSDT_PERP.A_ls_ratio,SFPUSDT_PERP.A_ls_ratio,LITUSDT_PERP.A_ls_ratio,XEMUSDT_PERP.A_ls_ratio,ATAUSDT_PERP.A_ls_ratio,HOTUSDT_PERP.A_ls_ratio,STMXUSDT_PERP.A_ls_ratio,C98USDT_PERP.A_ls_ratio,ARUSDT_PERP.A_ls_ratio,MANAUSDT_PERP.A_ls_ratio,ONEUSDT_PERP.A_ls_ratio,HBARUSDT_PERP.A_ls_ratio,CHRUSDT_PERP.A_ls_ratio,DYDXUSDT_PERP.A_ls_ratio,COTIUSDT_PERP.A_ls_ratio,DENTUSDT_PERP.A_ls_ratio,NKNUSDT_PERP.A_ls_ratio,IOTXUSDT_PERP.A_ls_ratio,CTSIUSDT_PERP.A_ls_ratio,1000XECUSDT_PERP.A_ls_ratio,ENSUSDT_PERP.A_ls_ratio,KLAYUSDT_PERP.A_ls_ratio,ARPAUSDT_PERP.A_ls_ratio,ANTUSDT_PERP.A_ls_ratio
2022-04-05,5.3939,2.7439,3.0683,4.2247,2.2051,3.4504,4.8241,3.5413,3.1719,5.4103,2.7538,3.4504,3.0816,2.5474,2.7622,3.4111,2.827,1.0829,2.6996,2.4722,1.6511,4.6593,1.3218,2.4423,4.685,1.7693,2.8685,5.215,2.1506,2.4435,3.5496,2.4388,1.9464,3.2034,2.6846,1.6695,1.7086,1.6724,2.592,1.448,2.0553,1.1659,1.2114,2.6778,0.9592,2.0451,1.9507,2.1427,2.2446,1.574,3.0,2.9667,4.1151,2.2669,4.6148,2.3411,1.2614,5.0241,3.3459,2.5499,3.415,3.7847,1.6674,3.4883,4.963,1.1944,3.7778,3.4723,4.2743,3.6083,3.6642,2.6166,3.7529,3.1946,3.81,3.878,3.5809,7.643,3.3937,3.1754,2.7922,4.1046,5.5445,4.2882,0.9095,8.3985,3.6751,2.876,4.6211,2.8023,5.068,2.9761,5.93,7.4246,7.0064,3.5977,3.8733,3.9529,2.2552,3.4248,4.1387,2.4223,3.4014,2.8956,6.6628,5.4392,3.4863,2.5026,4.7405,3.5914,3.9505,3.2301,4.9916,2.8835,4.6243,3.817,5.1087,4.3163,3.5413
2022-04-06,5.210766666666667,2.9427,2.2567666666666666,3.7325000000000004,2.4668666666666668,3.2849666666666666,4.8704,3.4175666666666666,2.9173666666666667,4.682966666666667,2.7570666666666668,3.6319333333333335,2.9584,2.9053,2.714566666666667,3.8520333333333334,3.253766666666667,1.0110666666666666,2.8933333333333335,2.627666666666667,1.6009333333333333,4.748766666666667,1.4571333333333334,2.8503333333333334,4.113266666666666,1.8778666666666668,3.1701,5.349366666666667,2.2201,2.6805,3.284333333333333,2.7164333333333333,2.0174666666666665,3.2937,2.788666666666667,1.8504333333333334,1.5906,1.9263000000000001,3.012,1.6919,2.3268666666666666,1.3333,1.5175666666666667,2.8751666666666664,0.8915333333333334,2.2780333333333336,1.7295666666666667,2.2429666666666668,2.9639,2.2514,3.1521,2.8478333333333334,3.9831333333333334,2.5307333333333335,4.2200999999999995,2.4221333333333335,1.9431333333333334,5.351966666666667,3.3722,2.5478,3.7748333333333335,3.8391333333333333,1.7263,3.1964333333333332,4.6865,1.4029666666666667,3.5084666666666666,3.2538,4.254133333333334,3.8092,3.7458666666666667,2.5000333333333336,3.536966666666667,3.4790666666666668,3.7232,3.4610333333333334,3.096566666666667,7.268266666666666,3.589166666666667,3.524233333333333,2.7310666666666665,3.928633333333333,6.4183,4.135,1.5385,8.022766666666667,3.717,2.8942666666666668,4.8814,2.9968666666666666,4.885933333333333,2.7461333333333333,5.8275,7.530166666666666,7.2186,3.391566666666667,3.6482666666666668,3.970266666666667,2.3796,3.650533333333333,3.9914666666666667,2.6256333333333335,3.230766666666667,2.7213,6.581333333333333,5.487233333333333,3.514333333333333,3.104366666666667,4.7091666666666665,3.0456666666666665,3.8196333333333334,3.714,4.8483,2.8104333333333336,4.4071,3.700766666666667,4.638866666666667,4.089566666666666,3.5622333333333334
2022-04-07,5.027633333333333,3.1415,1.4452333333333334,3.2403000000000004,2.7286333333333337,3.1195333333333335,4.9167,3.2938333333333336,2.6628333333333334,3.9556333333333336,2.760333333333333,3.813466666666667,2.8352,3.2632000000000003,2.666933333333333,4.292966666666667,3.6805333333333334,0.9392333333333333,3.087066666666667,2.7831333333333332,1.5507666666666666,4.838233333333333,1.5924666666666667,3.2583666666666664,3.5415333333333336,1.9864333333333335,3.4717000000000002,5.483733333333333,2.2896,2.9175,3.019066666666667,2.994066666666667,2.0885333333333334,3.384,2.892733333333333,2.0313666666666665,1.4726,2.1802,3.432,1.9358,2.5984333333333334,1.5007,1.8237333333333334,3.0725333333333333,0.8238666666666666,2.5109666666666666,1.5084333333333335,2.343233333333333,3.6832000000000003,2.9288,3.3042000000000002,2.7289666666666665,3.8511666666666664,2.7945666666666664,3.8254,2.5031666666666665,2.6248666666666667,5.679833333333333,3.3985,2.5457,4.134666666666667,3.8935666666666666,1.7852000000000001,2.9045666666666667,4.41,1.6115333333333335,3.2391333333333336,3.0353000000000003,4.233966666666666,4.0101,3.8275333333333332,2.3834666666666666,3.3210333333333333,3.763533333333333,3.6364,3.0440666666666667,2.612233333333333,6.893533333333333,3.7846333333333333,3.8730666666666664,2.6699333333333333,3.752666666666667,7.2921000000000005,3.9818,2.1675,7.647033333333334,3.7589,2.912533333333333,5.1417,3.1914333333333333,4.703866666666666,2.516166666666667,5.725,7.6357333333333335,7.4308,3.185433333333333,3.423233333333333,3.987633333333333,2.504,3.876266666666667,3.8442333333333334,2.8289666666666666,3.0601333333333334,2.547,6.499866666666667,5.535266666666667,3.5423666666666667,3.7061333333333337,4.677833333333333,2.4999333333333333,3.6887666666666665,4.1979,4.705,2.7373666666666665,4.1899,3.5845333333333333,4.169033333333333,3.862833333333333,3.5831666666666666
2022-04-08,4.8445,3.3403,0.6337,2.7481,2.9904,2.9541,4.963,3.1701,2.4083,3.2283,2.7636,3.995,2.712,3.6211,2.6193,4.7339,4.1073,0.8674,3.2808,2.9386,1.5006,4.9277,1.7278,3.6664,2.9698,2.095,3.7733,5.6181,2.3591,3.1545,2.7538,3.2717,2.1596,3.4743,2.9968,2.2123,1.3546,2.4341,3.852,2.1797,2.87,1.6681,2.1299,3.2699,0.7562,2.7439,1.2873,2.4435,4.4025,3.6062,3.4563,2.6101,3.7192,3.0584,3.4307,2.5842,3.3066,6.0077,3.4248,2.5436,4.4945,3.948,1.8441,2.6127,4.1335,1.8201,2.9698,2.8168,4.2138,4.211,3.9092,2.2669,3.1051,4.048,3.5496,2.6271,2.1279,6.5188,3.9801,4.2219,2.6088,3.5767,8.1659,3.8286,2.7965,7.2713,3.8008,2.9308,5.402,3.386,4.5218,2.2862,5.6225,7.7413,7.643,2.9793,3.1982,4.005,2.6284,4.102,3.697,3.0323,2.8895,2.3727,6.4184,5.5833,3.5704,4.3079,4.6465,1.9542,3.5579,4.6818,4.5617,2.6643,3.9727,3.4683,3.6992,3.6361,3.6041
2022-04-09,5.5876,4.0125,0.5785,3.4583,3.8638,2.8926,3.8757,3.2662,1.6504,4.7937,2.8551,4.2219,3.7733,3.4464,3.0274,5.7935,4.6529,0.3316,3.6707,3.7214,1.0899,4.9137,1.7174,3.5005,3.3309,1.8035,2.9277,5.7249,2.937,3.0469,3.0145,3.3821,2.2637,3.8379,3.0128,2.8256,1.8385,2.6219,4.2329,2.4118,3.0601,1.4704,2.4602,3.5558,0.8793,2.9714,1.881,2.5162,4.8685,4.0736,3.562,3.1894,4.184,3.2194,3.6296,3.095,3.852,5.7751,2.9032,2.4602,4.7208,4.2329,2.0912,3.207,4.4142,1.9789,3.075,2.5112,4.7471,5.3012,3.4524,2.4953,3.2283,3.6447,3.6104,3.1789,2.8595,6.3206,4.2549,4.6657,3.0601,3.9875,8.2421,4.3248,3.1271,7.7336,4.5679,2.8956,5.2735,3.0617,4.423,2.3546,6.3855,8.5511,7.9286,3.2052,3.8473,4.0582,2.1085,3.6512,4.3591,3.1425,3.1841,1.8305,7.4175,6.2046,3.4033,4.0454,6.1124,2.785,3.9213,3.6382,4.9032,2.7383,3.3821,3.384,2.7764,3.6598,3.9237
2022-04-10,4.5463,3.562,1.3121,3.8733,3.0016,2.8986,3.3271,3.3764,1.9595,4.1046,2.375,4.1493,3.5372,3.1736,2.3659,5.2267,4.8514,0.7584,3.5935,3.2608,2.3146,5.3776,1.6539,2.7979,2.3546,1.9577,3.3422,5.7385,2.8285,3.6041,2.4783,3.2974,2.5261,3.8948,3.0486,2.9324,1.8058,2.6179,4.0226,2.6179,3.2571,1.3941,2.6819,4.0075,0.6584,2.8417,1.936,2.647,5.2735,4.1894,3.2355,2.659,4.0403,3.4189,3.6642,2.8805,2.8197,4.2438,3.363,2.667,4.9172,4.4025,2.2062,2.6245,4.3476,2.075,2.643,3.09,4.2715,5.1881,3.8473,2.7722,3.1859,3.1545,0.8751,2.8551,2.8066,7.0386,3.9407,4.4795,2.879,3.9652,6.1276,4.0075,3.1929,6.7942,3.5188,2.723,5.4893,3.2176,3.9603,2.1626,5.5445,7.3264,7.1566,3.0866,3.3011,5.2854,2.3091,3.2248,4.5772,3.1597,3.2052,1.7816,7.2372,5.3776,3.5434,3.8031,4.4915,2.651,3.7281,3.4623,4.0839,2.4554,3.8876,3.2427,3.0258,4.0403,3.4385
2022-04-11,5.6181,3.7348,2.1536,4.184,3.1701,3.2517,4.6022,3.5147,1.4588,4.3792,2.56,2.9984,4.5006,3.7824,2.9557,6.1942,4.8858,0.3149,3.9529,3.6707,2.9761,5.6181,1.9351,2.8835,3.9213,1.8273,3.3975,6.2886,2.6711,3.5167,3.2409,3.4092,2.5817,4.0891,3.0469,2.9573,1.9824,2.6819,4.1203,2.4674,2.8358,1.4981,2.5958,3.8804,0.5878,3.0161,2.1847,2.6245,4.5279,4.0277,3.7371,2.5804,4.4142,3.5269,4.015,3.3178,3.3879,5.9396,3.2571,2.5881,5.5104,4.3248,2.6955,2.6765,5.0205,2.0102,3.1789,2.574,5.2073,5.0827,3.7059,2.5039,3.4385,3.7059,1.2707,3.4803,3.0339,7.3963,4.144,4.9032,2.6298,3.9727,8.2081,4.3476,3.4248,7.5837,4.2798,2.7147,5.5104,3.3178,4.2854,2.471,5.7385,7.3612,8.1912,3.0783,3.7371,5.2267,2.33,3.8216,4.102,3.1068,3.9044,1.9121,7.4034,6.326,3.4504,3.6104,5.2189,3.0193,3.9237,3.8286,4.3879,2.7538,3.7416,3.2827,3.4663,4.2826,3.5147
2022-04-12,5.169,4.0403,2.6697,3.6104,4.0891,2.4941,2.992,3.2176,2.096,4.4259,2.2744,3.8996,3.3917,3.2301,3.1946,5.8918,5.4641,0.4736,2.7936,2.8986,2.6088,5.2972,2.1328,3.2937,3.5413,1.6947,3.6577,5.2735,3.363,3.2373,3.1391,3.8356,2.614,4.3792,3.3554,3.7985,2.1666,2.5765,4.6497,3.1459,4.0251,1.6781,2.6496,4.2687,0.6121,3.6253,2.4002,2.5958,5.0024,3.6382,4.01,2.5817,4.123,2.87,3.4583,4.0454,3.207,4.5402,3.717,2.3738,5.93,5.3735,2.9494,2.8865,5.2035,2.1918,3.4287,2.1606,4.9418,4.4142,3.3821,2.5537,3.3215,4.2383,2.3389,3.0683,2.7665,5.7935,3.8852,4.5991,2.3223,3.5704,6.7942,4.4705,2.8358,7.3333,4.3191,2.9017,5.068,2.9185,3.6598,1.936,5.5232,7.7336,7.9606,3.0404,3.9677,4.8651,3.1771,3.6685,3.9702,3.07,2.2258,2.0941,6.8493,5.734,3.8473,3.7461,5.9061,2.8895,3.7529,3.3975,4.4555,2.3591,3.6992,3.1408,2.917,3.5809,3.1615
2022-04-13,4.3562,3.852,2.9793,4.0025,4.4259,3.6555,2.9793,3.0917,2.391,4.1467,0.327,4.4735,3.2626,3.8948,3.9213,5.5232,5.6094,0.78,3.9213,2.7951,2.7523,5.4725,2.2062,3.2753,3.7506,1.5674,3.7801,5.6445,3.3197,2.7397,2.3784,3.5558,2.0845,4.4318,3.363,3.6447,2.0102,3.0306,5.0168,3.1789,4.2966,1.8563,2.9108,4.9488,0.6841,3.7416,2.2383,2.6166,4.777,3.9554,4.1361,2.7622,4.144,3.4883,3.1771,4.2138,3.5005,4.6593,2.992,2.9651,5.8776,4.8445,3.3159,2.8095,4.2192,1.9121,2.882,2.4329,3.6253,4.7504,3.4723,2.4376,3.2212,3.6992,2.885,2.5727,2.5323,5.7295,3.4984,4.1387,2.3738,4.0454,5.3573,4.7176,3.1494,7.3264,3.5228,3.0388,4.8072,2.1066,3.6296,1.8313,5.1805,2.8052,7.3822,2.8715,3.2992,3.7642,2.8835,3.6404,3.3271,2.7965,2.2971,2.0303,6.6394,4.9382,4.2576,3.8544,5.6225,3.3365,4.0201,3.5956,3.9579,2.5398,3.386,3.3085,3.207,3.5086,2.888
2022-04-14,3.3478,3.5269,3.0323,4.0,3.7214,2.4507,2.1596,2.9432,2.1566,4.2247,0.5444,4.3476,2.8256,4.2604,3.4643,5.2735,5.0938,0.8355,3.717,3.0984,1.7678,4.3763,2.1837,2.9936,3.0177,1.3838,4.0968,5.4475,2.8226,3.3066,2.7411,3.4131,1.9958,4.3533,3.1374,2.9526,1.8345,2.269,3.3328,3.1339,4.2743,1.6178,0.8169,4.8241,0.6578,3.3365,2.1319,2.5562,4.7208,3.5269,3.948,2.9124,4.2083,3.0161,3.2141,3.985,2.9448,4.4735,1.0392,2.1888,5.8446,5.006,2.7439,2.7908,3.7733,1.8129,2.8432,2.4083,3.6555,5.0716,3.6707,2.5423,3.2355,3.4189,2.7965,2.9541,2.69,6.4794,4.0201,3.7281,2.2196,4.1813,5.3012,4.3333,3.0783,6.0771,3.8852,3.1841,4.9595,2.5499,3.1771,2.3921,5.2696,3.5269,6.2622,3.363,3.9407,3.8685,2.8956,3.5704,3.2753,2.5829,2.1898,2.1766,5.9686,4.988,4.5463,3.5683,4.5096,3.3422,3.6598,3.3821,3.7733,2.775,2.962,3.2052,3.5704,3.4984,2.8521
2022-04-15,4.571,3.4723,3.2088,4.0839,3.9358,2.5162,2.9857,3.3103,1.9533,4.1177,1.2614,3.817,4.3533,4.7971,2.7922,5.5833,6.4906,0.4693,3.5935,3.2717,2.8226,4.963,2.879,3.1408,4.2219,1.6954,3.5977,5.2854,2.9872,3.3459,3.2088,3.4783,2.2248,3.8614,3.3197,3.1684,2.3478,2.8926,4.2383,2.827,4.4348,1.8588,0.9976,4.8207,0.7683,3.0469,2.5613,2.574,5.1501,4.0556,4.2604,2.8402,4.0277,3.0933,3.2319,4.777,2.0239,5.2228,1.6511,2.2895,6.1582,5.4392,2.7106,2.6062,5.3171,1.8645,3.417,3.5269,4.5525,5.8966,3.6642,2.7106,3.9677,4.698,1.454,3.0177,3.0371,6.5188,3.7304,3.8852,2.8256,4.3277,5.7981,4.3821,3.5372,8.4787,4.4795,3.085,5.079,2.8551,4.2743,2.3256,5.7522,5.1652,7.1037,3.0917,3.3159,3.6642,3.0984,3.7529,3.5725,2.962,2.6114,2.199,6.1276,4.9347,4.5218,4.3305,6.5415,3.4484,4.3533,3.7506,4.3476,2.5753,3.3573,4.2029,3.4944,3.9975,4.1335
2022-04-16,3.6275,3.6425,3.2808,4.1948,3.9383,2.7722,3.1068,3.122,2.3456,3.4843,2.2248,3.531,4.5127,4.0429,2.5575,5.1275,5.9204,0.438,4.2659,3.0323,3.2717,4.571,1.6603,3.0,4.102,1.5687,3.2735,5.2775,2.951,3.4903,3.207,3.1254,2.358,1.524,3.2463,2.1706,2.465,2.5881,3.1964,2.1085,3.5434,1.8161,0.8936,4.5897,0.5352,2.6324,3.1169,2.23,5.8871,3.5746,4.1125,2.9952,4.4348,2.8941,3.1911,4.9172,1.5407,5.2344,1.7886,2.7864,5.398,5.4893,2.3625,2.5026,4.8582,2.0057,2.9573,3.5956,4.6275,6.1276,3.5249,2.6657,3.3668,4.0659,2.7807,3.7985,2.864,6.6687,3.4248,4.0352,2.5549,4.0968,6.2886,4.3447,3.6062,7.9686,3.5956,3.0258,5.0459,2.7161,4.5991,2.5448,5.605,5.3492,5.9638,2.9448,3.8662,3.8286,3.1736,3.5662,3.5025,2.6576,2.973,2.5286,6.3206,4.8685,4.8411,3.902,7.1833,3.56,3.8828,3.075,4.4645,2.8745,3.8685,3.7916,3.9334,3.5579,4.1073
2022-04-17,4.1073,3.0016,3.583,4.1975,3.4444,2.6873,2.9777,3.3497,2.7495,2.7936,2.8095,4.0607,3.042,5.5833,1.3929,4.963,6.0922,0.7957,4.5991,3.1824,2.7908,4.4675,2.3875,2.8358,4.5127,1.9665,3.8567,6.215,3.1169,3.1771,3.6083,3.279,2.2808,1.8596,3.0816,1.1182,2.1918,2.56,2.7736,1.8241,3.7619,1.7855,0.8205,5.0277,0.5911,2.643,3.3687,2.4758,5.8776,2.9277,4.3333,2.2134,4.1813,2.406,3.7664,4.7339,1.4618,4.8343,2.5137,3.8662,4.685,1.6185,2.4083,2.8081,5.8166,2.2258,2.8551,3.7281,4.2329,5.8353,3.5683,2.8895,3.122,4.3305,2.0647,2.9936,2.5945,6.5758,3.3975,4.1787,4.0125,4.3419,6.2993,4.3908,3.5893,7.8496,3.7916,3.3516,5.1237,2.574,4.814,2.614,4.787,5.9444,6.6511,3.3365,4.0302,4.0505,3.2863,3.9383,3.8077,2.7679,1.7732,3.1391,6.728,5.3532,4.7803,4.3677,7.1699,3.7015,3.2992,3.5249,4.2826,2.9417,3.8403,3.7619,3.6729,3.7483,4.0454
2022-04-18,5.5104,3.5393,3.3478,4.0505,4.3533,2.8432,3.2662,3.6838,2.8865,4.322,0.4073,4.5494,2.9793,5.993,1.9189,5.8587,7.285,1.2124,4.2854,3.1841,2.8373,4.9207,2.6969,2.8285,4.9737,1.9197,3.4723,6.5472,3.7148,3.5167,3.2735,3.529,2.5587,2.3956,3.6147,1.6702,2.6219,2.879,3.6147,2.2971,4.6593,1.8686,0.9631,5.6489,0.553,3.2481,3.2409,2.5348,6.0175,3.9776,4.6054,2.3378,4.4526,2.9888,4.0684,5.5317,1.3474,5.4061,2.2658,3.6125,6.0323,3.99,2.5984,2.885,5.5147,1.8835,3.3253,3.2626,5.068,5.7114,3.3365,3.2445,3.562,4.9809,0.6883,3.6104,2.9432,6.8125,3.5893,4.2521,3.6555,4.4289,6.4349,4.9773,3.878,9.3199,4.0942,3.2176,5.5488,2.9936,5.006,1.8466,5.5359,6.485,7.569,3.7103,3.8426,3.852,3.1237,3.7939,3.9044,2.882,2.4941,2.873,7.8889,5.9156,4.8241,4.2438,7.6356,3.4267,4.1573,3.6382,4.814,2.7064,4.3996,3.6404,3.6555,3.4984,3.4287
2022-04-19,3.7015,2.7425,2.8655,2.8066,4.0684,2.9262,2.9017,1.9895,2.124,4.4675,0.4588,4.5096,3.6275,5.2461,2.937,5.006,5.079,1.076,4.3022,2.9683,2.3267,4.3163,2.8491,2.6219,4.2994,1.6164,3.1824,6.2569,3.5537,3.4014,3.3573,3.5977,2.5651,2.6536,3.1,2.42,2.6819,2.3003,3.6019,2.1368,4.5494,1.7071,1.2847,5.3816,0.4762,2.7133,1.6261,2.4614,5.0132,3.223,4.0327,2.012,4.6211,2.5714,3.5537,3.5496,1.6525,4.7208,2.8506,2.7893,5.7522,5.1162,2.7051,2.5436,5.0864,1.7724,3.0274,3.7687,3.3516,4.7045,3.5767,2.9857,3.2937,4.5463,1.164,2.6617,2.4965,6.8064,2.951,4.3619,2.9746,4.3937,6.1327,4.3419,3.3159,8.0827,2.8835,3.2337,5.035,2.6996,4.1387,1.907,5.4599,6.1788,5.566,3.2391,3.8996,3.4053,3.8426,4.0761,3.4484,2.5323,3.029,2.5881,6.9491,3.4346,4.711,3.6533,5.8918,3.2808,3.7214,3.5537,4.2329,2.5575,3.6468,3.1356,3.4823,4.0226,3.1771
2022-04-20,3.5662,3.0128,2.5224,2.367,3.4504,1.5967,2.6075,1.9806,2.42,4.4795,0.9051,3.9044,3.7192,5.4935,2.5881,4.571,4.9102,1.0973,4.9773,3.3687,1.8409,4.6657,2.5386,2.0432,3.686,2.635,3.4053,5.1652,3.2481,2.6982,3.1545,2.9635,2.5224,2.6023,2.73,1.2821,2.7693,2.0525,2.9872,2.1726,4.0327,1.7855,1.4783,5.5488,0.6496,2.9386,1.5407,2.4928,4.6054,2.8625,4.211,2.0656,4.2438,2.5311,3.2644,3.344,2.7779,4.8685,2.9032,1.8935,4.6275,4.4113,2.3411,2.7693,5.7659,2.33,3.1876,3.4366,2.9952,4.3476,3.5413,2.3852,1.9542,4.123,1.8893,3.0766,2.7189,7.5837,3.0866,4.3792,3.2319,4.4201,5.9881,1.0292,3.3384,8.0009,3.1494,3.1701,3.8662,2.867,4.305,1.924,5.0386,6.2727,5.5232,3.4484,3.7664,3.4863,3.4228,3.7015,3.5662,2.7286,3.2176,2.8447,6.2993,4.5279,4.7176,3.4964,4.848,3.5372,4.3135,3.2772,3.852,3.3215,4.2659,3.1876,4.3763,5.2617,3.4072
2022-04-21,4.3191,3.0225,3.1102,2.6088,3.1597,2.6711,3.3975,2.5112,2.9541,4.9701,1.0137,4.2083,3.8733,6.1839,2.7313,5.5488,5.2267,0.9569,3.4189,3.6512,2.4578,5.3012,2.7258,1.6553,4.7737,0.8005,3.1806,5.4641,3.8662,2.8835,3.2845,3.0634,2.7707,3.3535,3.0469,1.172,3.2337,1.9525,3.2141,2.3512,4.4289,1.8539,1.713,5.6313,0.4892,2.7707,1.7233,2.367,4.8309,3.4209,4.0839,2.4471,4.4615,2.4388,3.2589,3.7103,2.7397,3.9261,2.7622,2.0817,3.8567,5.0864,2.3113,2.9139,6.5301,2.4235,3.0096,3.384,3.7125,4.9916,3.6598,2.7023,2.9557,5.4683,2.6271,3.5662,3.3384,8.0009,3.56,4.7339,3.3611,4.4765,6.4906,0.9298,2.8447,10.0132,3.9529,3.7304,4.6243,3.1339,4.872,2.0788,5.0459,7.5106,6.5245,3.5872,4.1256,3.9164,3.1271,3.7916,3.6168,2.2103,3.09,2.8956,7.9847,6.1124,4.7703,3.7551,6.5019,4.0891,4.3022,3.7037,3.8924,3.1391,4.3022,3.3573,4.305,5.3012,3.7529
2022-04-22,5.6622,3.5147,2.858,2.268,4.6561,3.6447,3.384,2.9952,2.3979,4.8893,2.1556,5.1463,4.5679,6.7942,3.4092,6.0274,6.0077,0.3408,4.4496,3.2608,3.7642,6.0126,3.0984,2.3523,5.035,0.6678,3.2699,7.0128,4.5991,3.6019,3.6533,0.7905,3.5188,4.322,3.0634,2.4518,3.3178,2.5088,4.1948,2.7922,4.7143,2.1716,2.4734,6.5131,0.362,3.5269,1.5253,2.1807,6.4405,4.2798,4.0942,2.5984,4.8548,2.5562,3.9801,1.9967,3.717,4.16,3.3611,2.7965,4.5066,5.4725,2.5075,3.1667,6.8125,2.2927,3.8216,2.7679,3.9334,5.6313,3.6555,2.5765,2.9667,5.9348,2.7722,3.4053,3.531,7.1037,3.7103,4.1203,3.5086,2.9952,9.142,1.6918,3.5998,10.1857,4.4407,3.5956,4.8858,3.2918,5.5445,1.0812,5.592,7.6356,6.2046,3.1254,3.6533,4.2002,2.92,3.9092,4.5402,2.5613,3.4444,3.4014,8.1575,6.5472,4.6243,3.662,7.4602,4.2247,4.5432,3.7962,5.12,2.1746,3.6275,3.3197,3.3975,4.8928,3.6992
